date,region,covid_deaths_2020
2020-08-21,Abruzzo,0.0
2020-08-22,Abruzzo,0.0
2020-08-23,Abruzzo,0.0
2020-08-24,Abruzzo,0.0
2020-08-25,Abruzzo,0.0
2020-08-26,Abruzzo,0.0
2020-08-27,Abruzzo,0.0
2020-08-28,Abruzzo,0.0
2020-08-29,Abruzzo,0.0
2020-08-30,Abruzzo,0.0
2020-08-31,Abruzzo,0.0
2020-09-01,Abruzzo,0.0
2020-09-02,Abruzzo,0.0
2020-09-03,Abruzzo,0.0
2020-09-04,Abruzzo,0.0
2020-09-05,Abruzzo,0.0
2020-09-06,Abruzzo,0.0
2020-09-07,Abruzzo,0.0
2020-09-08,Abruzzo,0.0
2020-09-09,Abruzzo,0.0
2020-09-10,Abruzzo,0.0
2020-09-11,Abruzzo,0.0
2020-09-12,Abruzzo,0.0
2020-09-13,Abruzzo,0.0
2020-09-14,Abruzzo,1.0
2020-09-15,Abruzzo,0.0
2020-09-16,Abruzzo,0.0
2020-09-17,Abruzzo,0.0
2020-09-18,Abruzzo,1.0
2020-09-19,Abruzzo,0.0
2020-09-20,Abruzzo,0.0
2020-09-21,Abruzzo,1.0
2020-09-22,Abruzzo,0.0
2020-09-23,Abruzzo,2.0
2020-09-24,Abruzzo,0.0
2020-09-25,Abruzzo,0.0
2020-09-26,Abruzzo,0.0
2020-09-27,Abruzzo,1.0
2020-09-28,Abruzzo,1.0
2020-09-29,Abruzzo,2.0
2020-09-30,Abruzzo,0.0
2020-10-01,Abruzzo,0.0
2020-10-02,Abruzzo,0.0
2020-10-03,Abruzzo,0.0
2020-10-04,Abruzzo,0.0
2020-10-05,Abruzzo,1.0
2020-10-06,Abruzzo,2.0
2020-10-07,Abruzzo,1.0
2020-10-08,Abruzzo,1.0
2020-10-09,Abruzzo,1.0
2020-10-10,Abruzzo,0.0
2020-10-11,Abruzzo,0.0
2020-10-12,Abruzzo,1.0
2020-10-13,Abruzzo,0.0
2020-10-14,Abruzzo,1.0
2020-10-15,Abruzzo,2.0
2020-10-16,Abruzzo,0.0
2020-10-17,Abruzzo,2.0
2020-10-18,Abruzzo,1.0
2020-10-19,Abruzzo,0.0
2020-10-20,Abruzzo,1.0
2020-10-21,Abruzzo,5.0
2020-10-22,Abruzzo,1.0
2020-10-23,Abruzzo,2.0
2020-10-24,Abruzzo,0.0
2020-10-25,Abruzzo,11.0
2020-10-26,Abruzzo,10.0
2020-10-27,Abruzzo,8.0
2020-10-28,Abruzzo,2.0
2020-10-29,Abruzzo,6.0
2020-10-30,Abruzzo,2.0
2020-10-31,Abruzzo,8.0
2020-11-01,Abruzzo,4.0
2020-11-02,Abruzzo,2.0
2020-11-03,Abruzzo,8.0
2020-11-04,Abruzzo,4.0
2020-11-05,Abruzzo,9.0
2020-11-06,Abruzzo,7.0
2020-11-07,Abruzzo,12.0
2020-11-08,Abruzzo,0.0
2020-11-09,Abruzzo,6.0
2020-11-10,Abruzzo,26.0
2020-11-11,Abruzzo,16.0
2020-11-12,Abruzzo,2.0
2020-11-13,Abruzzo,15.0
2020-11-14,Abruzzo,10.0
2020-11-15,Abruzzo,8.0
2020-11-16,Abruzzo,11.0
2020-11-17,Abruzzo,13.0
2020-11-18,Abruzzo,9.0
2020-11-19,Abruzzo,9.0
2020-11-20,Abruzzo,18.0
2020-11-21,Abruzzo,35.0
2020-11-22,Abruzzo,12.0
2020-11-23,Abruzzo,18.0
2020-11-24,Abruzzo,18.0
2020-11-25,Abruzzo,9.0
2020-11-26,Abruzzo,20.0
2020-11-27,Abruzzo,17.0
2020-11-28,Abruzzo,11.0
2020-11-29,Abruzzo,7.0
2020-11-30,Abruzzo,7.0
2020-12-01,Abruzzo,13.0
2020-12-02,Abruzzo,21.0
2020-12-03,Abruzzo,13.0
2020-12-04,Abruzzo,15.0
2020-12-05,Abruzzo,14.0
2020-12-06,Abruzzo,11.0
2020-12-07,Abruzzo,9.0
2020-12-08,Abruzzo,5.0
2020-12-09,Abruzzo,9.0
2020-12-10,Abruzzo,10.0
2020-12-11,Abruzzo,4.0
2020-12-12,Abruzzo,12.0
2020-12-13,Abruzzo,9.0
2020-12-14,Abruzzo,19.0
2020-12-15,Abruzzo,15.0
2020-12-16,Abruzzo,12.0
2020-12-17,Abruzzo,18.0
2020-02-24,Basilicata,
2020-02-25,Basilicata,0.0
2020-02-26,Basilicata,0.0
2020-02-27,Basilicata,0.0
2020-02-28,Basilicata,0.0
2020-02-29,Basilicata,0.0
2020-03-01,Basilicata,0.0
2020-03-02,Basilicata,0.0
2020-03-03,Basilicata,0.0
2020-03-04,Basilicata,0.0
2020-03-05,Basilicata,0.0
2020-03-06,Basilicata,0.0
2020-03-07,Basilicata,0.0
2020-03-08,Basilicata,0.0
2020-03-09,Basilicata,0.0
2020-03-10,Basilicata,0.0
2020-03-11,Basilicata,0.0
2020-03-12,Basilicata,0.0
2020-03-13,Basilicata,0.0
2020-03-14,Basilicata,0.0
2020-03-15,Basilicata,0.0
2020-03-16,Basilicata,0.0
2020-03-17,Basilicata,0.0
2020-03-18,Basilicata,0.0
2020-03-19,Basilicata,0.0
2020-03-20,Basilicata,0.0
2020-03-21,Basilicata,0.0
2020-03-22,Basilicata,0.0
2020-03-23,Basilicata,1.0
2020-03-24,Basilicata,0.0
2020-03-25,Basilicata,0.0
2020-03-26,Basilicata,0.0
2020-03-27,Basilicata,2.0
2020-03-28,Basilicata,0.0
2020-03-29,Basilicata,1.0
2020-03-30,Basilicata,1.0
2020-03-31,Basilicata,2.0
2020-04-01,Basilicata,2.0
2020-04-02,Basilicata,1.0
2020-04-03,Basilicata,1.0
2020-04-04,Basilicata,0.0
2020-04-05,Basilicata,2.0
2020-04-06,Basilicata,0.0
2020-04-07,Basilicata,1.0
2020-04-08,Basilicata,0.0
2020-04-09,Basilicata,1.0
2020-04-10,Basilicata,0.0
2020-04-11,Basilicata,2.0
2020-04-12,Basilicata,1.0
2020-04-13,Basilicata,0.0
2020-04-14,Basilicata,1.0
2020-04-15,Basilicata,2.0
2020-04-16,Basilicata,1.0
2020-04-17,Basilicata,0.0
2020-04-18,Basilicata,1.0
2020-04-19,Basilicata,1.0
2020-04-20,Basilicata,0.0
2020-04-21,Basilicata,0.0
2020-04-22,Basilicata,0.0
2020-04-23,Basilicata,0.0
2020-04-24,Basilicata,0.0
2020-04-25,Basilicata,1.0
2020-04-26,Basilicata,0.0
2020-04-27,Basilicata,0.0
2020-04-28,Basilicata,0.0
2020-04-29,Basilicata,0.0
2020-04-30,Basilicata,0.0
2020-05-01,Basilicata,0.0
2020-05-02,Basilicata,0.0
2020-05-03,Basilicata,0.0
2020-05-04,Basilicata,0.0
2020-05-05,Basilicata,0.0
2020-05-06,Basilicata,0.0
2020-05-07,Basilicata,1.0
2020-05-08,Basilicata,0.0
2020-05-09,Basilicata,1.0
2020-05-10,Basilicata,0.0
2020-05-11,Basilicata,0.0
2020-05-12,Basilicata,0.0
2020-05-13,Basilicata,0.0
2020-05-14,Basilicata,0.0
2020-05-15,Basilicata,0.0
2020-05-16,Basilicata,0.0
2020-05-17,Basilicata,0.0
2020-05-18,Basilicata,0.0
2020-05-19,Basilicata,0.0
2020-05-20,Basilicata,0.0
2020-05-21,Basilicata,0.0
2020-05-22,Basilicata,0.0
2020-05-23,Basilicata,0.0
2020-05-24,Basilicata,0.0
2020-05-25,Basilicata,0.0
2020-05-26,Basilicata,0.0
2020-05-27,Basilicata,0.0
2020-05-28,Basilicata,0.0
2020-05-29,Basilicata,0.0
2020-05-30,Basilicata,0.0
2020-05-31,Basilicata,0.0
2020-06-01,Basilicata,0.0
2020-06-02,Basilicata,0.0
2020-06-03,Basilicata,0.0
2020-06-04,Basilicata,0.0
2020-06-05,Basilicata,0.0
2020-06-06,Basilicata,0.0
2020-06-07,Basilicata,0.0
2020-06-08,Basilicata,0.0
2020-06-09,Basilicata,0.0
2020-06-10,Basilicata,0.0
2020-06-11,Basilicata,0.0
2020-06-12,Basilicata,0.0
2020-06-13,Basilicata,0.0
2020-06-14,Basilicata,0.0
2020-06-15,Basilicata,0.0
2020-06-16,Basilicata,0.0
2020-06-17,Basilicata,0.0
2020-06-18,Basilicata,0.0
2020-06-19,Basilicata,0.0
2020-06-20,Basilicata,0.0
2020-06-21,Basilicata,0.0
2020-06-22,Basilicata,0.0
2020-06-23,Basilicata,0.0
2020-06-24,Basilicata,0.0
2020-06-25,Basilicata,0.0
2020-06-26,Basilicata,0.0
2020-06-27,Basilicata,0.0
2020-06-28,Basilicata,0.0
2020-06-29,Basilicata,0.0
2020-06-30,Basilicata,0.0
2020-07-01,Basilicata,0.0
2020-07-02,Basilicata,0.0
2020-07-03,Basilicata,0.0
2020-07-04,Basilicata,0.0
2020-07-05,Basilicata,0.0
2020-07-06,Basilicata,0.0
2020-07-07,Basilicata,0.0
2020-07-08,Basilicata,0.0
2020-07-09,Basilicata,0.0
2020-07-10,Basilicata,0.0
2020-07-11,Basilicata,0.0
2020-07-12,Basilicata,0.0
2020-07-13,Basilicata,0.0
2020-07-14,Basilicata,0.0
2020-07-15,Basilicata,0.0
2020-07-16,Basilicata,0.0
2020-07-17,Basilicata,0.0
2020-07-18,Basilicata,0.0
2020-07-19,Basilicata,1.0
2020-07-20,Basilicata,0.0
2020-07-21,Basilicata,0.0
2020-07-22,Basilicata,0.0
2020-07-23,Basilicata,0.0
2020-07-24,Basilicata,0.0
2020-07-25,Basilicata,0.0
2020-07-26,Basilicata,0.0
2020-07-27,Basilicata,0.0
2020-07-28,Basilicata,0.0
2020-07-29,Basilicata,0.0
2020-07-30,Basilicata,0.0
2020-07-31,Basilicata,0.0
2020-08-01,Basilicata,0.0
2020-08-02,Basilicata,0.0
2020-08-03,Basilicata,0.0
2020-08-04,Basilicata,0.0
2020-08-05,Basilicata,0.0
2020-08-06,Basilicata,0.0
2020-08-07,Basilicata,0.0
2020-08-08,Basilicata,0.0
2020-08-09,Basilicata,0.0
2020-08-10,Basilicata,0.0
2020-08-11,Basilicata,0.0
2020-08-12,Basilicata,0.0
2020-08-13,Basilicata,0.0
2020-08-14,Basilicata,0.0
2020-08-15,Basilicata,0.0
2020-08-16,Basilicata,0.0
2020-08-17,Basilicata,0.0
2020-08-18,Basilicata,0.0
2020-08-19,Basilicata,0.0
2020-08-20,Basilicata,0.0
2020-08-21,Basilicata,0.0
2020-08-22,Basilicata,0.0
2020-08-23,Basilicata,0.0
2020-08-24,Basilicata,0.0
2020-08-25,Basilicata,0.0
2020-08-26,Basilicata,0.0
2020-08-27,Basilicata,0.0
2020-08-28,Basilicata,0.0
2020-08-29,Basilicata,0.0
2020-08-30,Basilicata,0.0
2020-08-31,Basilicata,0.0
2020-09-01,Basilicata,0.0
2020-09-02,Basilicata,0.0
2020-09-03,Basilicata,0.0
2020-09-04,Basilicata,0.0
2020-09-05,Basilicata,0.0
2020-09-06,Basilicata,0.0
2020-09-07,Basilicata,0.0
2020-09-08,Basilicata,0.0
2020-09-09,Basilicata,0.0
2020-09-10,Basilicata,0.0
2020-09-11,Basilicata,0.0
2020-09-12,Basilicata,0.0
2020-09-13,Basilicata,0.0
2020-09-14,Basilicata,0.0
2020-09-15,Basilicata,0.0
2020-09-16,Basilicata,0.0
2020-09-17,Basilicata,0.0
2020-09-18,Basilicata,0.0
2020-09-19,Basilicata,0.0
2020-09-20,Basilicata,0.0
2020-09-21,Basilicata,0.0
2020-09-22,Basilicata,0.0
2020-09-23,Basilicata,0.0
2020-09-24,Basilicata,0.0
2020-09-25,Basilicata,0.0
2020-09-26,Basilicata,0.0
2020-09-27,Basilicata,1.0
2020-09-28,Basilicata,0.0
2020-09-29,Basilicata,0.0
2020-09-30,Basilicata,0.0
2020-10-01,Basilicata,0.0
2020-10-02,Basilicata,1.0
2020-10-03,Basilicata,3.0
2020-10-04,Basilicata,0.0
2020-10-05,Basilicata,0.0
2020-10-06,Basilicata,0.0
2020-10-07,Basilicata,2.0
2020-10-08,Basilicata,0.0
2020-10-09,Basilicata,0.0
2020-10-10,Basilicata,0.0
2020-10-11,Basilicata,0.0
2020-10-12,Basilicata,0.0
2020-10-13,Basilicata,2.0
2020-10-14,Basilicata,0.0
2020-10-15,Basilicata,0.0
2020-10-16,Basilicata,1.0
2020-10-17,Basilicata,0.0
2020-10-18,Basilicata,1.0
2020-10-19,Basilicata,0.0
2020-10-20,Basilicata,0.0
2020-10-21,Basilicata,0.0
2020-10-22,Basilicata,3.0
2020-10-23,Basilicata,0.0
2020-10-24,Basilicata,2.0
2020-10-25,Basilicata,0.0
2020-10-26,Basilicata,0.0
2020-10-27,Basilicata,0.0
2020-10-28,Basilicata,3.0
2020-10-29,Basilicata,0.0
2020-10-30,Basilicata,1.0
2020-10-31,Basilicata,1.0
2020-11-01,Basilicata,0.0
2020-11-02,Basilicata,2.0
2020-11-03,Basilicata,3.0
2020-11-04,Basilicata,0.0
2020-11-05,Basilicata,2.0
2020-11-06,Basilicata,3.0
2020-11-07,Basilicata,4.0
2020-11-08,Basilicata,1.0
2020-11-09,Basilicata,0.0
2020-11-10,Basilicata,2.0
2020-11-11,Basilicata,3.0
2020-11-12,Basilicata,3.0
2020-11-13,Basilicata,1.0
2020-11-14,Basilicata,5.0
2020-11-15,Basilicata,1.0
2020-11-16,Basilicata,6.0
2020-11-17,Basilicata,0.0
2020-11-18,Basilicata,14.0
2020-11-19,Basilicata,2.0
2020-11-20,Basilicata,3.0
2020-11-21,Basilicata,6.0
2020-11-22,Basilicata,0.0
2020-11-23,Basilicata,4.0
2020-11-24,Basilicata,16.0
2020-11-25,Basilicata,3.0
2020-11-26,Basilicata,3.0
2020-11-27,Basilicata,3.0
2020-11-28,Basilicata,3.0
2020-11-29,Basilicata,3.0
2020-11-30,Basilicata,8.0
2020-12-01,Basilicata,0.0
2020-12-02,Basilicata,0.0
2020-12-03,Basilicata,5.0
2020-12-04,Basilicata,3.0
2020-12-05,Basilicata,8.0
2020-12-06,Basilicata,6.0
2020-12-07,Basilicata,5.0
2020-12-08,Basilicata,1.0
2020-12-09,Basilicata,2.0
2020-12-10,Basilicata,6.0
2020-12-11,Basilicata,6.0
2020-12-12,Basilicata,1.0
2020-12-13,Basilicata,6.0
2020-12-14,Basilicata,5.0
2020-12-15,Basilicata,5.0
2020-12-16,Basilicata,0.0
2020-12-17,Basilicata,5.0
2020-02-24,Calabria,
2020-02-25,Calabria,0.0
2020-02-26,Calabria,0.0
2020-02-27,Calabria,0.0
2020-02-28,Calabria,0.0
2020-02-29,Calabria,0.0
2020-03-01,Calabria,0.0
2020-03-02,Calabria,0.0
2020-03-03,Calabria,0.0
2020-03-04,Calabria,0.0
2020-03-05,Calabria,0.0
2020-03-06,Calabria,0.0
2020-03-07,Calabria,0.0
2020-03-08,Calabria,0.0
2020-03-09,Calabria,0.0
2020-03-10,Calabria,0.0
2020-03-11,Calabria,0.0
2020-03-12,Calabria,0.0
2020-03-13,Calabria,0.0
2020-03-14,Calabria,0.0
2020-03-15,Calabria,1.0
2020-03-16,Calabria,0.0
2020-03-17,Calabria,0.0
2020-03-18,Calabria,0.0
2020-03-19,Calabria,2.0
2020-03-20,Calabria,1.0
2020-03-21,Calabria,1.0
2020-03-22,Calabria,3.0
2020-03-23,Calabria,-1.0
2020-03-24,Calabria,3.0
2020-03-25,Calabria,1.0
2020-03-26,Calabria,3.0
2020-03-27,Calabria,4.0
2020-03-28,Calabria,3.0
2020-03-29,Calabria,4.0
2020-03-30,Calabria,6.0
2020-03-31,Calabria,5.0
2020-04-01,Calabria,2.0
2020-04-02,Calabria,3.0
2020-04-03,Calabria,4.0
2020-04-04,Calabria,4.0
2020-04-05,Calabria,7.0
2020-04-06,Calabria,2.0
2020-04-07,Calabria,2.0
2020-04-08,Calabria,0.0
2020-04-09,Calabria,1.0
2020-04-10,Calabria,4.0
2020-04-11,Calabria,1.0
2020-04-12,Calabria,0.0
2020-04-13,Calabria,1.0
2020-04-14,Calabria,1.0
2020-04-15,Calabria,3.0
2020-04-16,Calabria,1.0
2020-04-17,Calabria,1.0
2020-04-18,Calabria,0.0
2020-04-19,Calabria,2.0
2020-04-20,Calabria,0.0
2020-04-21,Calabria,1.0
2020-04-22,Calabria,0.0
2020-04-23,Calabria,0.0
2020-04-24,Calabria,4.0
2020-04-25,Calabria,0.0
2020-04-26,Calabria,0.0
2020-04-27,Calabria,3.0
2020-04-28,Calabria,2.0
2020-04-29,Calabria,1.0
2020-04-30,Calabria,0.0
2020-05-01,Calabria,0.0
2020-05-02,Calabria,2.0
2020-05-03,Calabria,0.0
2020-05-04,Calabria,0.0
2020-05-05,Calabria,0.0
2020-05-06,Calabria,1.0
2020-05-07,Calabria,0.0
2020-05-08,Calabria,1.0
2020-05-09,Calabria,0.0
2020-05-10,Calabria,1.0
2020-05-11,Calabria,2.0
2020-05-12,Calabria,0.0
2020-05-13,Calabria,0.0
2020-05-14,Calabria,2.0
2020-05-15,Calabria,0.0
2020-05-16,Calabria,0.0
2020-05-17,Calabria,0.0
2020-05-18,Calabria,0.0
2020-05-19,Calabria,0.0
2020-05-20,Calabria,1.0
2020-05-21,Calabria,0.0
2020-05-22,Calabria,0.0
2020-05-23,Calabria,0.0
2020-05-24,Calabria,0.0
2020-05-25,Calabria,0.0
2020-05-26,Calabria,0.0
2020-05-27,Calabria,0.0
2020-05-28,Calabria,0.0
2020-05-29,Calabria,1.0
2020-05-30,Calabria,0.0
2020-05-31,Calabria,0.0
2020-06-01,Calabria,0.0
2020-06-02,Calabria,0.0
2020-06-03,Calabria,0.0
2020-06-04,Calabria,0.0
2020-06-05,Calabria,0.0
2020-06-06,Calabria,0.0
2020-06-07,Calabria,0.0
2020-06-08,Calabria,0.0
2020-06-09,Calabria,0.0
2020-06-10,Calabria,0.0
2020-06-11,Calabria,0.0
2020-06-12,Calabria,0.0
2020-06-13,Calabria,0.0
2020-06-14,Calabria,0.0
2020-06-15,Calabria,0.0
2020-06-16,Calabria,0.0
2020-06-17,Calabria,0.0
2020-06-18,Calabria,0.0
2020-06-19,Calabria,0.0
2020-06-20,Calabria,0.0
2020-06-21,Calabria,0.0
2020-06-22,Calabria,0.0
2020-06-23,Calabria,0.0
2020-06-24,Calabria,0.0
2020-06-25,Calabria,0.0
2020-06-26,Calabria,0.0
2020-06-27,Calabria,0.0
2020-06-28,Calabria,0.0
2020-06-29,Calabria,0.0
2020-06-30,Calabria,0.0
2020-07-01,Calabria,0.0
2020-07-02,Calabria,0.0
2020-07-03,Calabria,0.0
2020-07-04,Calabria,0.0
2020-07-05,Calabria,0.0
2020-07-06,Calabria,0.0
2020-07-07,Calabria,0.0
2020-07-08,Calabria,0.0
2020-07-09,Calabria,0.0
2020-07-10,Calabria,0.0
2020-07-11,Calabria,0.0
2020-07-12,Calabria,0.0
2020-07-13,Calabria,0.0
2020-07-14,Calabria,0.0
2020-07-15,Calabria,0.0
2020-07-16,Calabria,0.0
2020-07-17,Calabria,0.0
2020-07-18,Calabria,0.0
2020-07-19,Calabria,0.0
2020-07-20,Calabria,0.0
2020-07-21,Calabria,0.0
2020-07-22,Calabria,0.0
2020-07-23,Calabria,0.0
2020-07-24,Calabria,0.0
2020-07-25,Calabria,0.0
2020-07-26,Calabria,0.0
2020-07-27,Calabria,0.0
2020-07-28,Calabria,0.0
2020-07-29,Calabria,0.0
2020-07-30,Calabria,0.0
2020-07-31,Calabria,0.0
2020-08-01,Calabria,0.0
2020-08-02,Calabria,0.0
2020-08-03,Calabria,0.0
2020-08-04,Calabria,0.0
2020-08-05,Calabria,0.0
2020-08-06,Calabria,0.0
2020-08-07,Calabria,0.0
2020-08-08,Calabria,0.0
2020-08-09,Calabria,0.0
2020-08-10,Calabria,0.0
2020-08-11,Calabria,0.0
2020-08-12,Calabria,0.0
2020-08-13,Calabria,0.0
2020-08-14,Calabria,0.0
2020-08-15,Calabria,0.0
2020-08-16,Calabria,0.0
2020-08-17,Calabria,0.0
2020-08-18,Calabria,0.0
2020-08-19,Calabria,0.0
2020-08-20,Calabria,0.0
2020-08-21,Calabria,0.0
2020-08-22,Calabria,0.0
2020-08-23,Calabria,0.0
2020-08-24,Calabria,0.0
2020-08-25,Calabria,0.0
2020-08-26,Calabria,0.0
2020-08-27,Calabria,0.0
2020-08-28,Calabria,0.0
2020-08-29,Calabria,0.0
2020-08-30,Calabria,0.0
2020-08-31,Calabria,0.0
2020-09-01,Calabria,0.0
2020-09-02,Calabria,0.0
2020-09-03,Calabria,0.0
2020-09-04,Calabria,0.0
2020-09-05,Calabria,1.0
2020-09-06,Calabria,0.0
2020-09-07,Calabria,0.0
2020-09-08,Calabria,0.0
2020-09-09,Calabria,0.0
2020-09-10,Calabria,0.0
2020-09-11,Calabria,0.0
2020-09-12,Calabria,0.0
2020-09-13,Calabria,0.0
2020-09-14,Calabria,0.0
2020-09-15,Calabria,0.0
2020-09-16,Calabria,0.0
2020-09-17,Calabria,0.0
2020-09-18,Calabria,0.0
2020-09-19,Calabria,0.0
2020-09-20,Calabria,0.0
2020-09-21,Calabria,0.0
2020-09-22,Calabria,0.0
2020-09-23,Calabria,0.0
2020-09-24,Calabria,0.0
2020-09-25,Calabria,0.0
2020-09-26,Calabria,2.0
2020-09-27,Calabria,0.0
2020-09-28,Calabria,0.0
2020-09-29,Calabria,0.0
2020-09-30,Calabria,0.0
2020-10-01,Calabria,0.0
